A;B;Customers
Total_Loan_Balances  - 08;Card_Purchases  + 09;5193
Salary  + 03;CSI  - 04;5187
Public_Sector_Payments  + 03;Tax_Payments  - 04;5187
AUM  - 04;Debit_Cards_Prepaid_Cards  + 05;5181
CSI  - 10;CSI  + 11;5176
CSI  + 06;Total_Loan_Balances  - 07;5174
Total_Loan_Balances  - 04;Remmitances_In  + 05;5173
Tax_Payments  - 06;Total_Loan_Balances  + 07;5171
ATM_Trans_Days  - 08;Debit_Cards_Prepaid_Cards  - 09;5169
Remmitances_In  - 05;Salary  + 06;5161
EBanking_Usage  - 09;ATM_Trans_Days  + 10;5149
Active_GS  - 03;ATM_Trans_Days  + 04;5145
Remmitances_In  + 04;Card_Purchases  + 05;5141
EBanking_Usage  + 03;Remmitances_Out  - 04;5141
EBanking_Usage  + 02;Total_Loan_Balances  + 03;5137
Salary  + 03;Remmitances_Out  - 04;5136
CSI  + 09;ATM_Trans_Days  - 10;5135
Public_Sector_Payments  - 01;Debit_Cards_Prepaid_Cards  + 02;5134
EBanking_Usage  - 05;Branch_Transaction_Days  - 06;5128
AUM  - 08;Public_Sector_Payments  + 09;5128
Salary  - 03;Active_Payroll_Pension  + 04;5126
Card_Purchases  + 09;Tax_Payments  - 10;5125
Remmitances_Out  - 05;Total_Loan_Balances  + 06;5118
ATM_Trans_Days  - 04;Active_GS  + 05;5117
Public_Sector_Payments  + 03;Remmitances_Out  - 04;5117
Card_Purchases  - 01;Active_GS  - 02;5111
Tax_Payments  - 05;Salary  + 06;5110
Remmitances_In  - 08;ATM_Trans_Days  + 09;5108
Tax_Payments  + 03;Total_Loan_Balances  - 04;5103
ATM_Trans_Days  - 04;Active_Payroll_Pension  + 05;5100
Public_Sector_Payments  - 05;Tax_Payments  + 06;5100
Remmitances_In  + 05;ATM_Trans_Days  - 06;5096
Remmitances_In  - 01;Card_Purchases  - 02;5093
Branch_Transaction_Days  - 09;Branch_Transaction_Days  + 10;5086
Remmitances_Out  - 07;AUM  + 08;5083
Tax_Payments  + 05;CSI  - 06;5077
Remmitances_In  + 03;CSI  - 04;5073
Remmitances_Out  + 02;ATM_Trans_Days  + 03;5072
Salary  - 01;Branch_Transaction_Days  - 02;5072
AUM  - 05;Public_Sector_Payments  - 06;5069
AUM  + 10;EBanking_Usage  + 11;5068
Public_Sector_Payments  + 05;Salary  - 06;5066
Public_Sector_Payments  + 05;Total_Loan_Balances  - 06;5065
Salary  - 03;Active_GS  + 04;5064
Card_Purchases  - 04;Tax_Payments  - 05;5062
Public_Sector_Payments  + 06;AUM  + 07;5059
Public_Sector_Payments  - 05;Salary  + 06;5059
Salary  + 09;ATM_Trans_Days  + 10;5059
Branch_Transaction_Days  + 04;Salary  - 05;5057
Remmitances_In  - 05;Tax_Payments  + 06;5055
Tax_Payments  + 04;Branch_Transaction_Days  + 05;5051
Remmitances_In  + 05;ATM_Trans_Days  + 06;5051
AUM  - 04;Active_Payroll_Pension  - 05;5047
Card_Purchases  - 07;Public_Sector_Payments  + 08;5045
ATM_Trans_Days  + 06;Remmitances_In  + 07;5042
AUM  - 11;ATM_Trans_Days  + 12;5041
Salary  - 05;Public_Sector_Payments  + 06;5041
Card_Purchases  - 08;Tax_Payments  - 09;5040
Card_Purchases  + 02;Active_GS  + 03;5037
EBanking_Usage  - 05;Tax_Payments  + 06;5035
Card_Purchases  + 02;Active_Payroll_Pension  + 03;5034
Start;POS  + 01;5033
Remmitances_In  + 05;AUM  + 06;5031
Branch_Transaction_Days  + 06;Total_Loan_Balances  - 07;5027
Total_Loan_Balances  - 05;Public_Sector_Payments  + 06;5024
Branch_Transaction_Days  + 07;EBanking_Usage  + 08;5020
Public_Sector_Payments  + 07;ATM_Trans_Days  - 08;5018
Debit_Cards_Prepaid_Cards  - 02;AUM  - 03;5015
AUM  - 04;Active_GS  - 05;5015
AUM  - 05;Active_GS  + 06;5011
Tax_Payments  + 05;Total_Loan_Balances  - 06;5007
Salary  - 08;Card_Purchases  - 09;5007
Card_Purchases  - 01;Active_Payroll_Pension  - 02;5006
AUM  - 05;Active_Payroll_Pension  + 06;5004
Salary  - 06;Tax_Payments  + 07;5003
ATM_Trans_Days  + 09;Branch_Transaction_Days  - 10;4999
ATM_Trans_Days  - 03;Tax_Payments  - 04;4998
Public_Sector_Payments  - 02;Card_Purchases  - 03;4998
CSI  + 03;Debit_Cards_Prepaid_Cards  + 04;4996
CSI  - 06;EBanking_Usage  - 07;4995
Remmitances_Out  - 03;ATM_Trans_Days  - 04;4992
Total_Loan_Balances  - 07;Card_Purchases  - 08;4989
EBanking_Usage  + 10;AUM  + 11;4989
AUM  - 02;Tax_Payments  - 03;4988
Debit_Cards_Prepaid_Cards  - 03;EBanking_Usage  - 04;4985
Public_Sector_Payments  + 04;Branch_Transaction_Days  + 05;4983
AUM  - 06;Remmitances_Out  - 07;4979
Total_Loan_Balances  + 04;CSI  - 05;4977
AUM  - 03;Tax_Payments  - 04;4971
AUM  - 06;Public_Sector_Payments  - 07;4970
Tax_Payments  - 06;Branch_Transaction_Days  + 07;4962
ATM_Trans_Days  - 06;Remmitances_Out  + 07;4962
EBanking_Usage  - 03;Tax_Payments  + 04;4961
Total_Loan_Balances  + 02;Branch_Transaction_Days  + 03;4960
CSI  - 07;Branch_Transaction_Days  + 08;4956
EBanking_Usage  - 04;Tax_Payments  + 05;4955
CSI  + 08;Card_Purchases  - 09;4953
ATM_Trans_Days  + 04;Remmitances_In  + 05;4946
Remmitances_In  - 03;EBanking_Usage  + 04;4944
Total_Loan_Balances  + 09;AUM  + 10;4942
Remmitances_In  + 02;Tax_Payments  - 03;4941
Total_Loan_Balances  - 09;AUM  + 10;4941
AUM  + 03;Remmitances_In  + 04;4940
Active_Payroll_Pension  + 03;Salary  + 04;4939
Remmitances_In  + 06;ATM_Trans_Days  - 07;4932
Debit_Cards_Prepaid_Cards  + 01;Public_Sector_Payments  - 02;4929
Active_GS  + 03;Salary  + 04;4927
Public_Sector_Payments  - 05;Total_Loan_Balances  + 06;4922
Public_Sector_Payments  + 05;Salary  + 06;4915
Card_Purchases  + 07;Tax_Payments  + 08;4910
Salary  - 07;Card_Purchases  - 08;4905
ATM_Trans_Days  - 08;Total_Loan_Balances  - 09;4903
Salary  + 06;EBanking_Usage  + 07;4899
EBanking_Usage  - 06;Branch_Transaction_Days  + 07;4896
Total_Loan_Balances  - 06;Tax_Payments  + 07;4890
Branch_Transaction_Days  + 03;Public_Sector_Payments  - 04;4885
Tax_Payments  + 06;Total_Loan_Balances  - 07;4885
Active_Payroll_Pension  - 03;ATM_Trans_Days  + 04;4879
AUM  + 09;EBanking_Usage  - 10;4873
Remmitances_Out  + 05;AUM  - 06;4870
ATM_Trans_Days  - 07;Remmitances_In  - 08;4861
CSI  + 02;Debit_Cards_Prepaid_Cards  - 03;4857
Card_Purchases  - 02;Tax_Payments  - 03;4856
AUM  - 01;Debit_Cards_Prepaid_Cards  - 02;4851
AUM  + 02;Remmitances_In  + 03;4849
Remmitances_Out  + 04;Card_Purchases  - 05;4847
Remmitances_In  + 06;ATM_Trans_Days  + 07;4847
CSI  - 09;Card_Purchases  - 10;4846
Remmitances_Out  + 03;Branch_Transaction_Days  - 04;4837
ATM_Trans_Days  + 06;Debit_Cards_Prepaid_Cards  + 07;4827
Tax_Payments  + 06;CSI  - 07;4827
CSI  - 09;ATM_Trans_Days  + 10;4824
ATM_Trans_Days  + 05;Public_Sector_Payments  + 06;4819
Remmitances_In  - 01;CSI  - 02;4817
Public_Sector_Payments  + 04;Tax_Payments  - 05;4813
Public_Sector_Payments  + 04;Remmitances_Out  - 05;4811
AUM  + 10;Tax_Payments  - 11;4802
EBanking_Usage  + 05;Salary  + 06;4799
ATM_Trans_Days  + 04;Debit_Cards_Prepaid_Cards  - 05;4799
Branch_Transaction_Days  + 04;Remmitances_Out  - 05;4796
Debit_Cards_Prepaid_Cards  - 02;Remmitances_In  + 03;4796
Tax_Payments  - 05;Public_Sector_Payments  + 06;4795
Card_Purchases  - 06;Remmitances_In  - 07;4793
CSI  - 06;Total_Loan_Balances  - 07;4792
Remmitances_Out  - 08;AUM  - 09;4789
Card_Purchases  + 04;Remmitances_In  + 05;4784
Tax_Payments  + 06;Branch_Transaction_Days  - 07;4779
Remmitances_Out  + 02;CSI  + 03;4776
Branch_Transaction_Days  - 07;CSI  + 08;4772
Active_GS  - 02;AUM  - 03;4771
CSI  + 06;Tax_Payments  - 07;4764
AUM  + 05;Public_Sector_Payments  + 06;4764
ATM_Trans_Days  - 11;ATM_Trans_Days  + 12;4764
Tax_Payments  - 07;Total_Loan_Balances  + 08;4763
Tax_Payments  - 09;ATM_Trans_Days  - 10;4758
Salary  - 06;CSI  + 07;4757
Card_Purchases  - 03;Tax_Payments  - 04;4757
EBanking_Usage  + 06;CSI  + 07;4756
CSI  - 06;Branch_Transaction_Days  - 07;4755
AUM  - 11;ATM_Trans_Days  - 12;4754
Remmitances_Out  - 04;Remmitances_In  + 05;4751
Branch_Transaction_Days  + 02;EBanking_Usage  - 03;4745
AUM  - 04;Public_Sector_Payments  - 05;4741
Debit_Cards_Prepaid_Cards  - 01;Remmitances_In  + 02;4732
Card_Purchases  + 08;Total_Loan_Balances  - 09;4731
Total_Loan_Balances  + 05;Branch_Transaction_Days  - 06;4726
EBanking_Usage  + 03;Salary  - 04;4724
Card_Purchases  - 06;Remmitances_Out  + 07;4723
Total_Loan_Balances  + 08;Card_Purchases  + 09;4721
Tax_Payments  - 06;CSI  + 07;4718
Total_Loan_Balances  - 06;CSI  - 07;4715
Debit_Cards_Prepaid_Cards  - 06;AUM  + 07;4711
Card_Purchases  + 05;Remmitances_In  + 06;4710
Debit_Cards_Prepaid_Cards  - 06;ATM_Trans_Days  + 07;4706
Active_Payroll_Pension  - 03;Active_Payroll_Pension  + 04;4703
Public_Sector_Payments  - 04;Remmitances_In  + 05;4702
Salary  - 04;CSI  - 05;4700
Branch_Transaction_Days  - 09;Card_Purchases  - 10;4700
Card_Purchases  + 01;Active_GS  - 02;4698
Active_Payroll_Pension  - 02;AUM  - 03;4698
Salary  - 02;Active_Payroll_Pension  - 03;4693
EBanking_Usage  + 02;Total_Loan_Balances  - 03;4692
Active_GS  - 03;Active_GS  + 04;4692
ATM_Trans_Days  + 01;Active_GS  - 02;4691
Tax_Payments  - 04;Remmitances_In  + 05;4690
CSI  + 05;Salary  - 06;4687
CSI  - 06;Salary  + 07;4684
Total_Loan_Balances  + 09;ATM_Trans_Days  + 10;4684
AUM  + 06;Debit_Cards_Prepaid_Cards  + 07;4683
Debit_Cards_Prepaid_Cards  + 07;AUM  - 08;4680
AUM  + 09;CSI  - 10;4678
Card_Purchases  - 09;EBanking_Usage  + 10;4671
Active_GS  - 03;Active_Payroll_Pension  + 04;4671
EBanking_Usage  + 05;EBanking_Usage  + 06;4670
EBanking_Usage  + 05;Branch_Transaction_Days  - 06;4667
Card_Purchases  + 07;Remmitances_Out  - 08;4663
Tax_Payments  + 06;EBanking_Usage  - 07;4663
AUM  + 04;Remmitances_In  + 05;4657
Salary  - 02;Active_GS  - 03;4655
Active_GS  - 01;Card_Purchases  - 02;4654
Remmitances_In  - 04;Remmitances_Out  + 05;4652
Debit_Cards_Prepaid_Cards  + 02;Branch_Transaction_Days  + 03;4647
Total_Loan_Balances  - 04;Branch_Transaction_Days  - 05;4647
AUM  - 05;Debit_Cards_Prepaid_Cards  + 06;4645
ATM_Trans_Days  + 10;EBanking_Usage  + 11;4645
AUM  - 03;Debit_Cards_Prepaid_Cards  - 04;4642
Debit_Cards_Prepaid_Cards  - 03;AUM  - 04;4641
ATM_Trans_Days  - 05;Remmitances_Out  - 06;4633
Debit_Cards_Prepaid_Cards  + 04;ATM_Trans_Days  - 05;4632
Branch_Transaction_Days  - 03;Total_Loan_Balances  - 04;4632
EBanking_Usage  + 04;CSI  - 05;4626
AUM  - 10;Branch_Transaction_Days  + 11;4625
AUM  - 07;Active_Payroll_Pension  - 08;4625
Debit_Cards_Prepaid_Cards  + 02;Remmitances_Out  - 03;4624
Active_GS  + 07;AUM  + 08;4623
EBanking_Usage  - 07;CSI  - 08;4621
ATM_Trans_Days  + 03;Remmitances_In  + 04;4620
Salary  - 01;Salary  - 02;4620
Active_Payroll_Pension  + 07;AUM  + 08;4617
EBanking_Usage  + 03;Remmitances_In  - 04;4611
CSI  - 06;Total_Loan_Balances  + 07;4609
ATM_Trans_Days  + 09;Total_Loan_Balances  + 10;4608
AUM  + 05;Remmitances_In  + 06;4607
EBanking_Usage  - 01;Remmitances_Out  - 02;4602
EBanking_Usage  + 03;Public_Sector_Payments  - 04;4601
Salary  + 09;AUM  - 10;4600
ATM_Trans_Days  + 01;Active_Payroll_Pension  - 02;4599
Salary  + 03;Public_Sector_Payments  - 04;4598
AUM  + 01;Remmitances_In  + 02;4598
CSI  + 03;EBanking_Usage  - 04;4596
Total_Loan_Balances  + 03;CSI  + 04;4595
Salary  - 05;Remmitances_In  + 06;4594
Tax_Payments  + 05;EBanking_Usage  - 06;4593
ATM_Trans_Days  + 06;Public_Sector_Payments  + 07;4593
EBanking_Usage  + 04;Salary  + 05;4588
Active_Payroll_Pension  + 02;Debit_Cards_Prepaid_Cards  + 03;4584
ATM_Trans_Days  + 01;Tax_Payments  + 02;4584
Branch_Transaction_Days  - 06;EBanking_Usage  + 07;4584
EBanking_Usage  - 01;Debit_Cards_Prepaid_Cards  - 02;4582
Card_Purchases  + 01;Active_Payroll_Pension  - 02;4578
Debit_Cards_Prepaid_Cards  - 02;Public_Sector_Payments  + 03;4578
Branch_Transaction_Days  + 07;Tax_Payments  - 08;4577
AUM  - 09;Total_Loan_Balances  - 10;4575
Tax_Payments  + 03;Public_Sector_Payments  + 04;4573
CSI  + 05;Remmitances_In  - 06;4566
Salary  - 04;EBanking_Usage  + 05;4566
AUM  - 07;Active_GS  - 08;4563
Debit_Cards_Prepaid_Cards  - 03;Branch_Transaction_Days  + 04;4563
Total_Loan_Balances  + 07;Card_Purchases  - 08;4562
Salary  - 10;Salary  + 11;4558
Salary  - 04;Branch_Transaction_Days  - 05;4556
Branch_Transaction_Days  + 07;CSI  - 08;4553
ATM_Trans_Days  - 02;Tax_Payments  - 03;4553
Salary  + 05;EBanking_Usage  + 06;4552
Remmitances_In  - 05;Branch_Transaction_Days  + 06;4549
Salary  + 06;Branch_Transaction_Days  + 07;4547
Active_GS  + 02;Debit_Cards_Prepaid_Cards  + 03;4546
Card_Purchases  + 07;Public_Sector_Payments  - 08;4546
Remmitances_Out  + 03;Remmitances_Out  - 04;4545
Remmitances_In  - 02;Debit_Cards_Prepaid_Cards  + 03;4544
Salary  - 03;EBanking_Usage  + 04;4543
EBanking_Usage  - 02;Remmitances_Out  + 03;4537
ATM_Trans_Days  + 02;Active_Payroll_Pension  + 03;4536
CSI  + 05;Remmitances_Out  - 06;4536
Total_Loan_Balances  - 09;AUM  - 10;4536
Debit_Cards_Prepaid_Cards  - 06;ATM_Trans_Days  - 07;4536
ATM_Trans_Days  + 02;Active_GS  + 03;4534
Total_Loan_Balances  + 03;Salary  - 04;4532
EBanking_Usage  - 10;AUM  + 11;4531
Active_Payroll_Pension  - 01;Card_Purchases  - 02;4530
Total_Loan_Balances  - 05;Remmitances_Out  + 06;4529
Salary  - 05;Remmitances_Out  + 06;4529
EBanking_Usage  - 02;EBanking_Usage  - 03;4528
ATM_Trans_Days  + 09;CSI  - 10;4528
Card_Purchases  - 07;Total_Loan_Balances  - 08;4527
Tax_Payments  + 03;Branch_Transaction_Days  + 04;4527
AUM  - 11;AUM  - 12;4526
Active_Payroll_Pension  - 03;Active_GS  + 04;4524
Total_Loan_Balances  - 01;Debit_Cards_Prepaid_Cards  + 02;4523
Remmitances_In  + 07;AUM  - 08;4523
Salary  + 04;CSI  - 05;4522
Tax_Payments  + 08;Card_Purchases  - 09;4522
Public_Sector_Payments  + 06;ATM_Trans_Days  + 07;4521
Salary  - 01;Debit_Cards_Prepaid_Cards  + 02;4516
Debit_Cards_Prepaid_Cards  - 02;EBanking_Usage  + 03;4514
Remmitances_In  + 02;Branch_Transaction_Days  + 03;4513
CSI  - 06;Tax_Payments  + 07;4512
Remmitances_In  + 05;Card_Purchases  - 06;4512
AUM  + 11;AUM  + 12;4505
Debit_Cards_Prepaid_Cards  + 06;AUM  + 07;4501
Public_Sector_Payments  - 01;CSI  - 02;4500
CSI  - 02;Active_Payroll_Pension  + 03;4500
CSI  - 03;Public_Sector_Payments  - 04;4499
AUM  + 02;Active_Payroll_Pension  + 03;4498
EBanking_Usage  + 02;Tax_Payments  - 03;4491
Remmitances_Out  + 03;AUM  + 04;4488
Salary  - 03;CSI  - 04;4485
AUM  + 03;Debit_Cards_Prepaid_Cards  - 04;4484
Tax_Payments  - 05;ATM_Trans_Days  - 06;4483
CSI  + 08;EBanking_Usage  + 09;4467
Tax_Payments  + 05;EBanking_Usage  + 06;4466
Public_Sector_Payments  + 03;Tax_Payments  + 04;4459
Tax_Payments  - 05;Remmitances_Out  + 06;4456
Card_Purchases  + 01;Tax_Payments  + 02;4455
Branch_Transaction_Days  + 07;CSI  + 08;4455
AUM  + 02;Active_GS  + 03;4455
Remmitances_In  + 05;Card_Purchases  + 06;4449
CSI  - 02;Active_GS  + 03;4447
CSI  + 02;Active_Payroll_Pension  + 03;4438
Branch_Transaction_Days  + 03;Remmitances_In  - 04;4435
AUM  - 07;Remmitances_Out  + 08;4435
Tax_Payments  - 01;Debit_Cards_Prepaid_Cards  + 02;4435
AUM  - 04;Active_GS  + 05;4434
Remmitances_Out  + 03;CSI  - 04;4423
AUM  - 04;Active_Payroll_Pension  + 05;4423
Remmitances_In  + 06;Branch_Transaction_Days  + 07;4419
ATM_Trans_Days  - 08;Public_Sector_Payments  + 09;4416
Public_Sector_Payments  - 08;AUM  - 09;4408
ATM_Trans_Days  + 10;Tax_Payments  - 11;4404
Debit_Cards_Prepaid_Cards  + 08;Card_Purchases  + 09;4404
Tax_Payments  + 04;Public_Sector_Payments  + 05;4401
Active_GS  - 03;Card_Purchases  + 04;4400
Tax_Payments  + 03;Salary  - 04;4399
AUM  + 06;Public_Sector_Payments  + 07;4398
Remmitances_Out  - 01;Debit_Cards_Prepaid_Cards  + 02;4397
AUM  - 10;CSI  + 11;4395
CSI  + 02;Active_GS  + 03;4393
CSI  + 10;AUM  + 11;4393
Public_Sector_Payments  + 07;AUM  + 08;4393
CSI  - 03;Remmitances_Out  - 04;4393
ATM_Trans_Days  + 05;Active_GS  + 06;4392
CSI  + 08;Total_Loan_Balances  + 09;4391
Card_Purchases  - 09;Salary  + 10;4391
ATM_Trans_Days  + 05;Active_Payroll_Pension  + 06;4390
Card_Purchases  - 05;Active_GS  + 06;4388
Public_Sector_Payments  + 07;Card_Purchases  - 08;4386
Card_Purchases  - 05;Active_Payroll_Pension  + 06;4385
Tax_Payments  + 04;EBanking_Usage  - 05;4379
Remmitances_Out  - 05;Public_Sector_Payments  + 06;4376
Debit_Cards_Prepaid_Cards  - 01;Branch_Transaction_Days  - 02;4372
Branch_Transaction_Days  + 09;Card_Purchases  + 10;4372
Public_Sector_Payments  + 06;Public_Sector_Payments  - 07;4360
Remmitances_In  - 05;Total_Loan_Balances  + 06;4357
ATM_Trans_Days  - 04;Public_Sector_Payments  - 05;4357
Remmitances_In  + 07;AUM  + 08;4353
Tax_Payments  + 06;EBanking_Usage  + 07;4352
CSI  + 05;Public_Sector_Payments  - 06;4348
Card_Purchases  - 11;AUM  + 12;4342
Card_Purchases  - 04;Remmitances_Out  - 05;4337
Remmitances_In  + 05;Branch_Transaction_Days  + 06;4333
ATM_Trans_Days  - 06;Debit_Cards_Prepaid_Cards  + 07;4331
ATM_Trans_Days  - 07;Remmitances_In  + 08;4325
Branch_Transaction_Days  - 03;Debit_Cards_Prepaid_Cards  + 04;4325
Salary  + 03;Remmitances_In  - 04;4325
Branch_Transaction_Days  - 02;Salary  - 03;4311
Tax_Payments  + 04;EBanking_Usage  + 05;4310
Salary  - 09;ATM_Trans_Days  + 10;4310
ATM_Trans_Days  - 03;Active_Payroll_Pension  + 04;4308
AUM  - 04;Debit_Cards_Prepaid_Cards  - 05;4303
Tax_Payments  - 07;Card_Purchases  - 08;4300
EBanking_Usage  - 10;EBanking_Usage  + 11;4297
Card_Purchases  - 06;Salary  - 07;4291
Branch_Transaction_Days  - 05;Remmitances_In  + 06;4286
AUM  + 09;Total_Loan_Balances  + 10;4279
Branch_Transaction_Days  + 05;Tax_Payments  + 06;4275
Tax_Payments  + 02;Branch_Transaction_Days  + 03;4274
Remmitances_In  + 07;Remmitances_In  - 08;4271
AUM  + 07;Public_Sector_Payments  + 08;4270
Card_Purchases  + 03;Remmitances_In  + 04;4266
ATM_Trans_Days  - 03;Active_GS  + 04;4266
Salary  + 02;Branch_Transaction_Days  + 03;4262
CSI  + 04;EBanking_Usage  - 05;4260
CSI  - 09;Card_Purchases  + 10;4259
Tax_Payments  - 03;AUM  - 04;4254
AUM  - 07;Public_Sector_Payments  - 08;4251
EBanking_Usage  + 07;Branch_Transaction_Days  + 08;4248
Debit_Cards_Prepaid_Cards  - 01;Public_Sector_Payments  + 02;4246
EBanking_Usage  - 07;CSI  + 08;4240
Public_Sector_Payments  + 08;AUM  - 09;4238
Debit_Cards_Prepaid_Cards  + 04;EBanking_Usage  + 05;4238
AUM  + 04;Debit_Cards_Prepaid_Cards  - 05;4237
ATM_Trans_Days  + 11;AUM  - 12;4231
EBanking_Usage  - 01;Debit_Cards_Prepaid_Cards  + 02;4231
Debit_Cards_Prepaid_Cards  - 04;AUM  - 05;4228
Debit_Cards_Prepaid_Cards  - 03;CSI  - 04;4227
EBanking_Usage  + 06;Salary  + 07;4226
Salary  + 05;Branch_Transaction_Days  - 06;4220
Public_Sector_Payments  + 08;ATM_Trans_Days  - 09;4218
Card_Purchases  - 04;Active_GS  + 05;4216
ATM_Trans_Days  + 09;EBanking_Usage  - 10;4213
Salary  + 04;Remmitances_Out  - 05;4213
Public_Sector_Payments  - 05;Remmitances_Out  + 06;4212
Branch_Transaction_Days  + 02;Salary  + 03;4211
Card_Purchases  + 06;Remmitances_In  + 07;4209
CSI  - 07;EBanking_Usage  + 08;4206
Remmitances_Out  + 03;Card_Purchases  + 04;4206
Branch_Transaction_Days  - 02;Debit_Cards_Prepaid_Cards  - 03;4202
Total_Loan_Balances  + 06;Tax_Payments  - 07;4201
EBanking_Usage  + 03;Total_Loan_Balances  + 04;4199
Remmitances_In  + 06;Card_Purchases  + 07;4199
Card_Purchases  - 04;Active_Payroll_Pension  + 05;4196
Salary  - 03;EBanking_Usage  - 04;4194
Salary  + 03;Total_Loan_Balances  - 04;4191
EBanking_Usage  + 10;ATM_Trans_Days  + 11;4188
Remmitances_In  - 04;Remmitances_In  + 05;4184
ATM_Trans_Days  + 09;Total_Loan_Balances  - 10;4184
Remmitances_Out  + 03;ATM_Trans_Days  + 04;4184
CSI  - 03;Tax_Payments  - 04;4183
Branch_Transaction_Days  - 03;Salary  - 04;4183
Active_Payroll_Pension  - 03;Card_Purchases  + 04;4181
Card_Purchases  + 09;Branch_Transaction_Days  + 10;4173
Branch_Transaction_Days  - 02;Public_Sector_Payments  - 03;4173
EBanking_Usage  - 02;Salary  + 03;4172
Card_Purchases  - 09;Branch_Transaction_Days  - 10;4172
ATM_Trans_Days  + 05;Debit_Cards_Prepaid_Cards  - 06;4168
Branch_Transaction_Days  + 04;EBanking_Usage  - 05;4165
ATM_Trans_Days  - 09;Total_Loan_Balances  + 10;4163
ATM_Trans_Days  + 04;Active_GS  + 05;4163
Salary  + 10;AUM  + 11;4162
EBanking_Usage  - 02;Total_Loan_Balances  + 03;4160
Remmitances_Out  + 06;AUM  - 07;4159
Card_Purchases  - 07;Salary  - 08;4157
Active_Payroll_Pension  + 02;AUM  - 03;4154
ATM_Trans_Days  + 04;Active_Payroll_Pension  + 05;4151
Total_Loan_Balances  + 05;CSI  - 06;4147
CSI  + 07;Branch_Transaction_Days  - 08;4144
AUM  - 05;Debit_Cards_Prepaid_Cards  - 06;4140
CSI  - 01;Debit_Cards_Prepaid_Cards  - 02;4140
Remmitances_Out  + 05;ATM_Trans_Days  - 06;4127
Branch_Transaction_Days  + 03;EBanking_Usage  - 04;4126
Public_Sector_Payments  - 08;ATM_Trans_Days  + 09;4122
Total_Loan_Balances  + 05;Tax_Payments  + 06;4122
Total_Loan_Balances  + 04;CSI  + 05;4120
Active_GS  + 02;AUM  - 03;4118
Total_Loan_Balances  + 09;ATM_Trans_Days  - 10;4117
Card_Purchases  + 08;Salary  - 09;4117
Branch_Transaction_Days  - 01;Branch_Transaction_Days  - 02;4115
ATM_Trans_Days  - 10;CSI  - 11;4113
Debit_Cards_Prepaid_Cards  + 01;Branch_Transaction_Days  - 02;4110
EBanking_Usage  + 06;Tax_Payments  - 07;4110
ATM_Trans_Days  + 07;Public_Sector_Payments  + 08;4107
Total_Loan_Balances  - 07;Branch_Transaction_Days  + 08;4107
Total_Loan_Balances  - 08;Card_Purchases  - 09;4107
Branch_Transaction_Days  + 07;Total_Loan_Balances  - 08;4107
Salary  + 09;Card_Purchases  + 10;4107
Public_Sector_Payments  + 05;Branch_Transaction_Days  + 06;4104
AUM  + 09;Total_Loan_Balances  - 10;4102
Total_Loan_Balances  - 09;ATM_Trans_Days  + 10;4101
AUM  + 08;Remmitances_Out  - 09;4098
ATM_Trans_Days  + 02;Remmitances_In  + 03;4093
Branch_Transaction_Days  + 05;EBanking_Usage  - 06;4092
Branch_Transaction_Days  + 10;AUM  + 11;4089
Remmitances_In  + 07;ATM_Trans_Days  - 08;4089
Remmitances_Out  - 06;Branch_Transaction_Days  + 07;4088
Total_Loan_Balances  - 05;Remmitances_In  + 06;4085
Branch_Transaction_Days  + 05;Salary  - 06;4081
AUM  + 08;Public_Sector_Payments  - 09;4074
Card_Purchases  - 07;Debit_Cards_Prepaid_Cards  + 08;4072
Card_Purchases  + 05;Active_GS  + 06;4068
EBanking_Usage  - 02;Debit_Cards_Prepaid_Cards  - 03;4068
Card_Purchases  + 05;Active_Payroll_Pension  + 06;4066
Remmitances_In  + 03;Branch_Transaction_Days  - 04;4065
ATM_Trans_Days  - 11;Card_Purchases  - 12;4062
CSI  - 07;EBanking_Usage  - 08;4057
Remmitances_In  - 08;Card_Purchases  + 09;4052
Remmitances_Out  + 04;ATM_Trans_Days  + 05;4052
Remmitances_In  + 06;Card_Purchases  - 07;4051
Salary  - 08;Card_Purchases  + 09;4047
Remmitances_In  + 04;CSI  - 05;4046
Tax_Payments  - 09;Card_Purchases  + 10;4043
Branch_Transaction_Days  + 06;EBanking_Usage  - 07;4042
Tax_Payments  + 04;CSI  + 05;4033
EBanking_Usage  - 06;Branch_Transaction_Days  - 07;4033
EBanking_Usage  + 04;Remmitances_Out  - 05;4032
Remmitances_In  - 02;Card_Purchases  - 03;4031
Remmitances_In  - 02;CSI  - 03;4028
ATM_Trans_Days  - 10;Tax_Payments  - 11;4028
ATM_Trans_Days  - 05;Public_Sector_Payments  - 06;4028
Remmitances_In  - 08;ATM_Trans_Days  - 09;4027
Card_Purchases  - 09;Debit_Cards_Prepaid_Cards  - 10;4024
Branch_Transaction_Days  + 04;Public_Sector_Payments  - 05;4024
Tax_Payments  - 05;Tax_Payments  + 06;4021
Public_Sector_Payments  - 05;Public_Sector_Payments  + 06;4018
EBanking_Usage  - 03;Salary  - 04;4018
Tax_Payments  + 02;EBanking_Usage  + 03;4017
Salary  + 05;Branch_Transaction_Days  + 06;4015
Debit_Cards_Prepaid_Cards  + 05;ATM_Trans_Days  - 06;4013
CSI  + 07;Branch_Transaction_Days  + 08;4012
ATM_Trans_Days  + 08;Remmitances_In  - 09;4010
Card_Purchases  - 09;Branch_Transaction_Days  + 10;4005
